"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"893","Set1/118a.jpg","78","image-keyboard-response","402","278115","0.0-3.0-1.199","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","403","278618","0.0-3.0-0.200","","fixation","","",""
"653","Set1/149a.jpg","79","image-keyboard-response","404","279272","0.0-3.0-1.200","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","405","279777","0.0-3.0-0.201","","fixation","","",""
"638","Set1/002a.jpg","79","image-keyboard-response","406","280417","0.0-3.0-1.201","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","407","280922","0.0-3.0-0.202","","fixation","","",""
"638","Set1/103a.jpg","79","image-keyboard-response","408","281561","0.0-3.0-1.202","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","409","282063","0.0-3.0-0.203","","fixation","","",""
"984","Set1/012a.jpg","78","image-keyboard-response","410","283048","0.0-3.0-1.203","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","411","283549","0.0-3.0-0.204","","fixation","","",""
"819","Set1/104a.jpg","78","image-keyboard-response","412","284369","0.0-3.0-1.204","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","413","284874","0.0-3.0-0.205","","fixation","","",""
"854","Set1/080a.jpg","78","image-keyboard-response","414","285729","0.0-3.0-1.205","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","415","286232","0.0-3.0-0.206","","fixation","","",""
"656","Set1/040a.jpg","78","image-keyboard-response","416","286889","0.0-3.0-1.206","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","417","287392","0.0-3.0-0.207","","fixation","","",""
"601","Set1/145a.jpg","78","image-keyboard-response","418","287993","0.0-3.0-1.207","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","419","288498","0.0-3.0-0.208","","fixation","","",""
"798","Set1/004a.jpg","79","image-keyboard-response","420","289297","0.0-3.0-1.208","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","421","289801","0.0-3.0-0.209","","fixation","","",""
"831","Set1/073a.jpg","78","image-keyboard-response","422","290633","0.0-3.0-1.209","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","423","291135","0.0-3.0-0.210","","fixation","","",""
"930","Set1/144a.jpg","79","image-keyboard-response","424","292065","0.0-3.0-1.210","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","425","292569","0.0-3.0-0.211","","fixation","","",""
"780","Set1/145a.jpg","79","image-keyboard-response","426","293349","0.0-3.0-1.211","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","427","293853","0.0-3.0-0.212","","fixation","","",""
"548","Set1/124a.jpg","79","image-keyboard-response","428","294401","0.0-3.0-1.212","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","429","294903","0.0-3.0-0.213","","fixation","","",""
"705","Set1/040a.jpg","79","image-keyboard-response","430","295609","0.0-3.0-1.213","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","431","296114","0.0-3.0-0.214","","fixation","","",""
"926","Set1/069a.jpg","79","image-keyboard-response","432","297040","0.0-3.0-1.214","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","433","297541","0.0-3.0-0.215","","fixation","","",""
"675","Set1/143a.jpg","79","image-keyboard-response","434","298217","0.0-3.0-1.215","","","Update","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","435","298718","0.0-3.0-0.216","","fixation","","",""
"628","Set1/024a.jpg","79","image-keyboard-response","436","299347","0.0-3.0-1.216","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","437","299851","0.0-3.0-0.217","","fixation","","",""
"839","Set1/131a.jpg","79","image-keyboard-response","438","300690","0.0-3.0-1.217","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","439","301191","0.0-3.0-0.218","","fixation","","",""
"707","Set1/094a.jpg","78","image-keyboard-response","440","301898","0.0-3.0-1.218","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","441","302403","0.0-3.0-0.219","","fixation","","",""
"613","Set1/104a.jpg","79","image-keyboard-response","442","303017","0.0-3.0-1.219","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","443","303518","0.0-3.0-0.220","","fixation","","",""
"507","Set1/080a.jpg","79","image-keyboard-response","444","304026","0.0-3.0-1.220","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","445","304527","0.0-3.0-0.221","","fixation","","",""
"673","Set1/060a.jpg","79","image-keyboard-response","446","305201","0.0-3.0-1.221","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","447","305706","0.0-3.0-0.222","","fixation","","",""
"1023","Set1/129a.jpg","79","image-keyboard-response","448","306730","0.0-3.0-1.222","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","449","307233","0.0-3.0-0.223","","fixation","","",""
"623","Set1/089a.jpg","79","image-keyboard-response","450","307857","0.0-3.0-1.223","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","451","308360","0.0-3.0-0.224","","fixation","","",""
"624","Set1/159a.jpg","79","image-keyboard-response","452","308985","0.0-3.0-1.224","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","453","309490","0.0-3.0-0.225","","fixation","","",""
"991","Set1/135a.jpg","78","image-keyboard-response","454","310482","0.0-3.0-1.225","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","455","310983","0.0-3.0-0.226","","fixation","","",""
"642","Set1/116a.jpg","78","image-keyboard-response","456","311625","0.0-3.0-1.226","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","457","312129","0.0-3.0-0.227","","fixation","","",""
"831","Set1/102a.jpg","79","image-keyboard-response","458","312961","0.0-3.0-1.227","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","459","313463","0.0-3.0-0.228","","fixation","","",""
"602","Set1/022a.jpg","79","image-keyboard-response","460","314066","0.0-3.0-1.228","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","461","314567","0.0-3.0-0.229","","fixation","","",""
"626","Set1/094a.jpg","79","image-keyboard-response","462","315194","0.0-3.0-1.229","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","463","315695","0.0-3.0-0.230","","fixation","","",""
"594","Set1/118a.jpg","79","image-keyboard-response","464","316290","0.0-3.0-1.230","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","465","316794","0.0-3.0-0.231","","fixation","","",""
"798","Set1/033a.jpg","79","image-keyboard-response","466","317593","0.0-3.0-1.231","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","467","318098","0.0-3.0-0.232","","fixation","","",""
"655","Set1/117a.jpg","79","image-keyboard-response","468","318753","0.0-3.0-1.232","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","469","319258","0.0-3.0-0.233","","fixation","","",""
"991","Set1/135a.jpg","79","image-keyboard-response","470","320250","0.0-3.0-1.233","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","471","320751","0.0-3.0-0.234","","fixation","","",""
"609","Set1/116a.jpg","79","image-keyboard-response","472","321361","0.0-3.0-1.234","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","473","321862","0.0-3.0-0.235","","fixation","","",""
"867","Set1/143a.jpg","79","image-keyboard-response","474","322730","0.0-3.0-1.235","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","475","323234","0.0-3.0-0.236","","fixation","","",""
"744","Set1/074a.jpg","79","image-keyboard-response","476","323979","0.0-3.0-1.236","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","477","324484","0.0-3.0-0.237","","fixation","","",""
"524","Set1/012a.jpg","79","image-keyboard-response","478","325009","0.0-3.0-1.237","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","479","325510","0.0-3.0-0.238","","fixation","","",""
"764","Set1/062a.jpg","79","image-keyboard-response","480","326275","0.0-3.0-1.238","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","481","326780","0.0-3.0-0.239","","fixation","","",""
"572","Set1/073a.jpg","79","image-keyboard-response","482","327354","0.0-3.0-1.239","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","483","327854","0.0-3.0-0.240","","fixation","","",""
"1075","Set1/029a.jpg","78","image-keyboard-response","484","328930","0.0-3.0-1.240","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","485","329435","0.0-3.0-0.241","","fixation","","",""
"646","Set1/098a.jpg","78","image-keyboard-response","486","330082","0.0-3.0-1.241","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","487","330585","0.0-3.0-0.242","","fixation","","",""
"938","Set1/086a.jpg","78","image-keyboard-response","488","331523","0.0-3.0-1.242","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","489","332028","0.0-3.0-0.243","","fixation","","",""
"614","Set1/070a.jpg","78","image-keyboard-response","490","332643","0.0-3.0-1.243","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","491","333144","0.0-3.0-0.244","","fixation","","",""
"1274","Set1/091a.jpg","78","image-keyboard-response","492","334419","0.0-3.0-1.244","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","493","334923","0.0-3.0-0.245","","fixation","","",""
"671","Set1/043a.jpg","78","image-keyboard-response","494","335595","0.0-3.0-1.245","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","495","336098","0.0-3.0-0.246","","fixation","","",""
"1184","Set1/083a.jpg","78","image-keyboard-response","496","337283","0.0-3.0-1.246","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","497","337788","0.0-3.0-0.247","","fixation","","",""
"806","Set1/011a.jpg","78","image-keyboard-response","498","338594","0.0-3.0-1.247","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","499","339100","0.0-3.0-0.248","","fixation","","",""
"870","Set1/142a.jpg","78","image-keyboard-response","500","339970","0.0-3.0-1.248","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","501","340473","0.0-3.0-0.249","","fixation","","",""
"1355","Set1/061a.jpg","78","image-keyboard-response","502","341829","0.0-3.0-1.249","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","503","342334","0.0-3.0-0.250","","fixation","","",""
"763","Set1/007a.jpg","78","image-keyboard-response","504","343098","0.0-3.0-1.250","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","505","343603","0.0-3.0-0.251","","fixation","","",""
"711","Set1/039a.jpg","78","image-keyboard-response","506","344314","0.0-3.0-1.251","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","507","344817","0.0-3.0-0.252","","fixation","","",""
"625","Set1/023a.jpg","78","image-keyboard-response","508","345442","0.0-3.0-1.252","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","509","345945","0.0-3.0-0.253","","fixation","","",""
