"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"860","Set1/048a.jpg","79","image-keyboard-response","266","238737","0.0-3.0-1.131","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","267","239252","0.0-3.0-0.132","","fixation","","",""
"953","Set1/053a.jpg","79","image-keyboard-response","268","240208","0.0-3.0-1.132","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","269","240730","0.0-3.0-0.133","","fixation","","",""
"816","Set1/138a.jpg","79","image-keyboard-response","270","241554","0.0-3.0-1.133","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","271","242064","0.0-3.0-0.134","","fixation","","",""
"946","Set1/014a.jpg","79","image-keyboard-response","272","243017","0.0-3.0-1.134","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","273","243542","0.0-3.0-0.135","","fixation","","",""
"870","Set1/075a.jpg","79","image-keyboard-response","274","244420","0.0-3.0-1.135","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","275","244950","0.0-3.0-0.136","","fixation","","",""
"995","Set1/111a.jpg","78","image-keyboard-response","276","245954","0.0-3.0-1.136","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","277","246471","0.0-3.0-0.137","","fixation","","",""
"910","Set1/056a.jpg","79","image-keyboard-response","278","247390","0.0-3.0-1.137","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","279","247912","0.0-3.0-0.138","","fixation","","",""
"1058","Set1/003a.jpg","78","image-keyboard-response","280","248977","0.0-3.0-1.138","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","281","249498","0.0-3.0-0.139","","fixation","","",""
"880","Set1/125a.jpg","79","image-keyboard-response","282","250385","0.0-3.0-1.139","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","283","250917","0.0-3.0-0.140","","fixation","","",""
"1027","Set1/072a.jpg","78","image-keyboard-response","284","251953","0.0-3.0-1.140","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","285","252481","0.0-3.0-0.141","","fixation","","",""
"945","Set1/084a.jpg","78","image-keyboard-response","286","253436","0.0-3.0-1.141","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","287","253953","0.0-3.0-0.142","","fixation","","",""
"788","Set1/156a.jpg","79","image-keyboard-response","288","254748","0.0-3.0-1.142","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","289","255267","0.0-3.0-0.143","","fixation","","",""
